Entity_id,label,description
/m/01htzx,Action,"Action is one of the fiction-writing modes authors use to present fiction. Action includes movement, not meaning like standing up, but big movements. The term is also used to describe an exciting event or circumstance."""
/m/01svq8,Dennis_Miller,"Dennis Miller is an American stand-up comedian, talk show host, political commentator, sports commentator, actor, television personality, and radio personality."
/m/01z4y,Comedy-GB,"Comedy is a genre of film in which the main emphasis is on humour. These films are designed to entertain the audience through amusement, and often work by exaggerating characteristics of real life for humorous effect."
/m/026bfsh,Michael_Jackson:_30th_Anniversary_Celebration,"The Michael Jackson: 30th Anniversary Special was a 2001 New York City revue show by Michael Jackson. It took place on September 7, 2001 and September 10, 2001. "
/m/0283ph,Ghost_in_the_Shell:_Stand_Alone_Complex,Ghost in the Shell: Stand Alone Complex is an anime television series produced by Production I.G and based on Masamune Shirow's manga Ghost in the Shell. It was written and directed by Kenji Kamiyama.
/m/02cllz,Bill_Nighy,"William Francis Bill Nighy is an English actor. He worked in theatre and television before his first cinema role in 1981, and made his name in television with The Men's Room in 1991, in which he played the womaniser Prof."
/m/02flpq,Grammy_Award_for_Best_Contemporary_R&B_Gospel_Album,"The Grammy Award for Best Contemporary R&B Gospel Album was an honor presented at the Grammy Awards, a ceremony that was established in 1958 and originally called the Gramophone Awards, to recording artists for quality gospel albums incorporating contemporary R&B music."
/m/02kxbwx,Ethan_Coen,"Ethan Coen is an American filmmaker known for co-directing, co-producing, and co-writing films with his brother, Joel Coen. Together, they are known as the Coen brothers."
/m/02kxbx3,Joel_Coen,"Joel Coen is an American screenwriter, film director, and producer, known for co-directing and co-writing films with his brother, Ethan Coen, under the collective title ""the Coen brothers."" "
/m/02vm9nd,Daytime_Emmy_Award_for_Outstanding_Game/Audience_Participation_Show,The Daytime Emmy for Outstanding Game/Audience Participation Show is an award category that honors exceptional game shows or shows that actively involve and engage the audience. It recognizes outstanding production and entertainment value in this genre.
/m/02vs3x5,Sound_Re-Recording_Mixer-GB,"A re-recording mixer North America, also known as a dubbing mixer Europe, is a person who is part of a post-production sound team and works specifically with voice over, dialogue, music and sound effects to create the final soundtrack for a movie / television production."
/m/03hfwhq,Caldecott_Medal,"The Randolph Caldecott Medal is a prestigious award presented annually to the most distinguished American picture book for children. Established in 1937, it recognizes outstanding artistic and storytelling qualities in children's literature."
/m/03p41,HIV,"HIV (Human Immunodeficiency Virus) is a virus that attacks and weakens the immune system. It can lead to AIDS (Acquired Immunodeficiency Syndrome). HIV occurs by the transfer of blood, semen, vaginal fluid, pre-ejaculate, or breast milk. "
/m/05hd32,Digimon:_Digital_Monsters_-_Season_3,"Digimon Tamers is the third TV anime series in the Digimon franchise. Produced by Toei Animation, it follows a group of children who use Digivices to interact with and battle digital creatures known as Digimon."
/m/06mr2s,So_You_Think_You_Can_Dance,"So You Think You Can Dance is an American dance competition show showcasing various styles, where amateurs and pros compete for the title. It premiered on July 20, 2005."
/m/06ybz_,AEL_1964_FC,"A.E.L. 1964, fully the Athletic Union of Larissa 1964, is a Greek association football club based in the city of Larissa, capital of Greece's Thessaly region."
/m/07z2lx,Primetime_Emmy_Award_for_Outstanding_Miniseries,"The Primetime Emmy Award for Outstanding Miniseries represents excellence in the category of miniseries that are considered either six hours or more, or more than two parts."
/m/08mbj5d,Official_Website,"An official website is a valid site providing direct information about a subject, usually owned and represented by the topic through a domain name on the internet."
/m/09v82c0,"Primetime_Emmy_Award_for_Outstanding_Costumes_for_a_Miniseries,_Movie_or_a_Special","The Primetime Emmy Award for Outstanding Costumes honors exceptional costume design in miniseries, movies, or specials within television programming."
/m/0bbw2z6,The_Tourist,"The Tourist is a 2010 romantic comedy thriller co-written and directed by Florian Henckel von Donnersmarck, starring Angelina Jolie and Johnny Depp."
/m/0d7wh,British_people,"British people, also referred to as Britons or archaically as Britishers, are nationals or natives of the United Kingdom, British Overseas Territories, Crown Dependencies; and their descendants."
/m/0dnqr,Indiana_Jones_and_the_Last_Crusade,"In the third installment of the Indiana Jones Trilogy, archaeologist Indiana Jones embarks on a quest to find the Holy Grail, following his missing father's footsteps and combating Nazi forces."
/m/0h3vhfb,Primetime_Emmy_Award_for_Outstanding_Short-format_Animation,The Primetime Emmy Award for Outstanding Short-format Animated Program is a Creative Arts Emmy Award given annually from 2008 to animated series or specials that are 15 minutes or shorter.
/m/0hzc9wc,Sovereign_state,"A sovereign state is an independent entity with defined territory, self-governance, and the ability to establish relationships with other states, free from external control or dependency."
/m/0jzphpx,36th_Annual_Grammy_Awards,"The 36th Grammy Awards, held in 1994, acknowledged achievements of musicians in the preceding year. Whitney Houston emerged as the leading winner, securing three awards, including Record of the Year and Album of the Year."
/m/0kfhjq0,2012_Donostia-San_Sebastián_International_Film_Festival,"The 60th edition of the 2012 Donostia-San Sebastián International Film Festival, held in San Sebastián, Spain, showcased a global selection of films, celebrating international cinema achievements from 9/21/2012 to 9/29/2012."
