Entity_id,label,description
/m/010016,Denton,"Denton is a city in Texas, United States, known for its vibrant music and arts scene, with numerous live music venues, galleries, and the University of North Texas situated within its borders."
/m/0100mt,El Paso,"El Paso is the county seat of El Paso County, Texas, located on the Rio Grande. It is the sixth-largest city in Texas, with a rich history, vibrant culture, and stunning natural landscapes."
/m/0102t4,Marshall,"Marshall is a city located in eastern Texas, USA. It is known for its rich history and host of cultural and recreational opportunities, including museums, parks, and annual festivals."
/m/0104lr,Beaumont,"Beaumont is the county seat of Jefferson County, Texas, located near the Gulf of Mexico. It is known for its oil industry, historical landmarks, and cultural attractions like the Art Museum of Southeast Texas."
/m/0105y2,Lubbock,"Lubbock is a city in Texas with a population of over 250,000. It is known for being the birthplace of rock musician Buddy Holly and home to Texas Tech University."
/m/0106dv,Waco,"Waco is a city in central Texas, known for its vibrant culture, historic landmarks like the Dr Pepper Museum, and attractions like the Cameron Park Zoo and Magnolia Market at the Silos."
/m/0108xl,Tyler,"Tyler is known as the ""Rose Capital of the World"" due to its abundant rose-growing industry. It offers a thriving arts scene, outdoor recreational opportunities, and a friendly community atmosphere."
/m/0109vk,San Angelo,"San Angelo is a city in West Texas known for its picturesque Concho River, historic sites like Fort Concho, and vibrant downtown area with a variety of cultural and recreational opportunities."
/m/010bnr,Laredo,"Laredo is located on the Mexican border in Texas, USA. It is the tenth-largest city in Texas and has a rich cultural heritage, vibrant festivals, and a bustling trade with its Mexican sister city, Nuevo Laredo."
/m/010bxh,Wichita Falls,Wichita Falls is a city in Texas known for its picturesque surroundings and outdoor activities. It is home to Sheppard Air Force Base and offers attractions like the River Bend Nature Center and the Wichita Falls Museum of Art.
/m/010cw1,"Hackensack, New Jersey","Hackensack is a city and county seat in Bergen County, New Jersey. It has a rich history, diverse population, and is known for its vibrant downtown, cultural attractions, and proximity to New York City."
/m/010dft,Logan,"Logan is a city located in Cache County, Utah. It is home to Utah State University and offers a blend of small-town charm and outdoor recreation opportunities, including hiking, skiing, and fishing."
/m/010h9y,Ogden,"Ogden is a city located in Weber County, Utah. It is known for its stunning mountain views, historic downtown, outdoor recreational opportunities, and cultural attractions like the Union Station and Eccles Dinosaur Park."
/m/010hn,Amy Grant,"Amy Grant is an American musician known for her contributions to contemporary Christian music and pop. She has released numerous albums, winning multiple awards and selling millions of records worldwide."
/m/010m55,McLean,"McLean is an affluent community located in Fairfax County, Northern Virginia. It is known for its upscale homes, prestigious schools, and close proximity to Washington, D.C."
/m/010nlt,Monte Carlo,"Monte Carlo is a district in Monaco known for its glamorous casinos, luxury hotels, and the famous Monte Carlo Casino. It is one of the wealthiest and most exclusive areas in the world."
/m/010p3,Adam Carolla,"Adam Carolla is a multifaceted entertainer known for his work as a radio personality, television host, comedian, and actor. He gained popularity through shows like ""Loveline"" and ""The Adam Carolla Show."""
/m/010r6f,Bellevue,"Bellevue is a vibrant city known for its thriving economy, beautiful parks, and diverse community. It is located on the Eastside of Lake Washington and is home to several major corporations and tech companies."
/m/010rvx,Bremerton,"Bremerton is a city located in Kitsap County, Washington. Situated on the Kitsap Peninsula, it is known for its naval history, waterfront activities, and scenic beauty, including stunning views of the Olympic Mountains."
/m/010t4v,Tacoma,"Tacoma is a city situated in Pierce County, Washington. It is the county seat and boasts a vibrant arts scene, a bustling waterfront, famous glass art, and stunning views of Mount Rainier."
/m/010tkc,Everett,"Everett is a city located in Snohomish County, Washington. It is the county seat and largest city in the county, known for its aerospace industry and picturesque views of Puget Sound."
/m/010v8k,Spokane,"Spokane is a city in eastern Washington state known for its natural beauty, outdoor activities, and vibrant downtown. It is the county seat of Spokane County and offers a mix of urban amenities and outdoor adventures."
/m/010xjr,Richard Harris,"Richard Harris was a versatile Irish actor, singer, film director, and writer known for his powerful performances in films like ""This Sporting Life"" and as Albus Dumbledore in the first two Harry Potter movies."
/m/010y34,Morgantown,"Morgantown is a vibrant city in north-central West Virginia, home to West Virginia University. It offers a diverse culture, outdoor activities, a thriving arts scene, and a welcoming community."
/m/010z5n,Parkersburg,"Parkersburg is a city in West Virginia, known for its rich history, charming downtown, and proximity to outdoor recreation opportunities, including the Ohio River and nearby parks and forests."
/m/0113sg,Nikolai Gogol,"Nikolai Gogol was a prominent Russian writer of the 19th century, known for his satirical and surrealist works such as ""Dead Souls"" and ""The Overcoat."" He greatly influenced Russian literature and is considered a founding figure of the modern short story."
/m/0114m0,La Crosse,"La Crosse is a city located in southwestern Wisconsin along the Mississippi River. It is known for its natural beauty, outdoor recreation opportunities, vibrant downtown, and rich history."
/m/0118d3,Racine,"Racine is a city located in southeastern Wisconsin, situated on the shores of Lake Michigan. It is known for its industrial history, diverse culture, beautiful lakefront, and landmarks like the Wind Point Lighthouse and the Racine Art Museum."
/m/011_3s,Lily Tomlin,"Lily Tomlin is a renowned American actress, comedian, writer, and producer. With a career spanning decades, she is known for her versatile performances, distinctive voice, and iconic characters in film, television, and theater."
/m/011_6p,kazoo,"The kazoo is a small, handheld musical instrument invented in the United States. It creates sound when the player hums or sings into it, producing a buzzing tone."
/m/011_vz,Faith No More,"Faith No More is an American band known for their eclectic style blending heavy metal, funk, alternative rock, and other genres. They gained popularity in the 1980s and 1990s with hits like ""Epic"" and ""Midlife Crisis."""
/m/011hdn,Alice Cooper,"Alice Cooper is an iconic American rock singer known for his theatrical live performances and dark, macabre stage persona. He rose to fame in the 1970s with hits like ""School's Out"" and ""Poison."""
/m/011hq1,Sikkim,"Sikkim is a small mountainous state in northeastern India known for its natural beauty, including snow-capped peaks, lush forests, and alpine meadows. It is also recognized for its traditional Tibetan-Buddhist culture."
/m/011j5x,post-punk,"Post-punk is a genre that emerged in the late 1970s, characterized by its experimental and original approach to punk rock, incorporating elements of art rock, pop, and electronic music."
/m/011k11,Decca Records,Decca Records is a record label that was originally founded in the United Kingdom in 1929 and later expanded to the United States. It has worked with numerous famous artists and has released influential recordings.
/m/011k1h,EMI,"EMI, or Electric and Musical Industries, was a British music recording and publishing company. It was founded in 1931 and became one of the ""big four"" record companies, representing numerous iconic artists."
/m/011k4g,Carl Stalling,Carl Stalling was a highly influential composer and arranger known for his work in creating music for Warner Bros. animated cartoons. His unique style helped define the genre of animation scoring.
/m/011k_j,timpani,"Timpani are large, bowl-shaped drums played with mallets. They produce pitches by adjusting the tension of the drumheads. These instruments are commonly used in orchestras and are crucial for creating rhythm and impact."
/m/011kn2,University of Ottawa,"The University of Ottawa is the largest bilingual university in the world, situated in Ottawa, Ontario, Canada. It offers instruction in both English and French, making it a unique institution."
/m/011lpr,Jack Webb,"Jack Webb was an American actor, producer, director, and author best known for his role as Sergeant Joe Friday in the TV series ""Dragnet."" He was an influential figure in television and film history."
/m/011lvx,Laurie Anderson,"Laurie Anderson is an American musician, performance artist, and multimedia pioneer known for her innovative use of technology, spoken word, and violin playing to create thought-provoking and unique soundscapes."
/m/011pcj,Dumfries and Galloway,"Dumfries and Galloway is a unitary council area in southern Scotland. It is known for its picturesque landscapes, including the Galloway Forest Park, historical sites, vibrant cultural heritage, and charming towns."
/m/011s0,advertising,"Advertising is a paid form of communication used for marketing purposes. It involves creating and distributing messages in various mediums to promote products, services, or ideas. Its goal is to persuade and influence the target audience within a limited space of 30 words or less."
/m/011s9r,Joe Shuster,"Joe Shuster was a Canadian-American comic book artist who, along with writer Jerry Siegel, co-created Superman. He was known for his iconic illustration style and contributed significantly to the superhero genre."
/m/011v3,A.C. Milan,"A.C. Milan is one of the most successful football clubs in the world, with a rich history and passionate fan base. They have won numerous domestic and international titles."
/m/011vx3,Pete Seeger,"Pete Seeger was an influential American folk singer known for his activism and songs that promoted social justice, peace, and environmental awareness. He was also an accomplished musician and banjo player."
/m/011w20,Bill Finger,"Bill Finger was an American comic strip and comic book writer, known for co-creating Batman and his supporting characters. He played a significant role in shaping the Batman mythology, although his contributions were largely uncredited for many years."
/m/011w4n,Nancy,"Nancy is a city in northeastern France, in the region of Grand Est. It is known for its beautiful architecture, including the famous Place Stanislas, as well as its rich cultural heritage."
/m/011w54,Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"The Sveriges Riksbank Prize in Economic Sciences, established in 1968, is awarded annually for outstanding contributions in economics and is considered one of the most prestigious awards in the field."
/m/011wdm,Boulogne-Billancourt,"Boulogne-Billancourt, located in Hauts-de-Seine, France, is a suburban commune near Paris. With a population of over 120,000, it is known for its beautiful parks, cultural venues, and automotive industry."
/m/011wtv,Minority Report,"Minority Report is a 2002 film directed by Steven Spielberg, starring Tom Cruise. Set in a future where crimes can be predicted and prevented, it explores themes of free will, justice, and the ethics of surveillance."
/m/011x_4,Groundhog Day,"""Groundhog Day"" is a 1993 comedy film starring Bill Murray as a weatherman who finds himself reliving the same day over and over again in Punxsutawney, Pennsylvania."
/m/011xg5,A.I. Artificial Intelligence,A.I. Artificial Intelligence is a 2001 film directed by Steven Spielberg that explores the journey of a highly advanced robotic boy seeking to become human and find love.
/m/011xhx,Kiss,"Kiss is an iconic American rock band formed in New York City in 1973. Known for their theatrical performances and trademark face paint, they have released numerous hits and are one of the best-selling bands of all time."
/m/011xjd,"Lon Chaney, Jr.","Lon Chaney, Jr. was an American actor best known for his roles in horror films. He appeared in numerous movies and gained fame for his portrayals of iconic characters like The Wolf Man."
/m/011xy1,Trinity College Dublin,"Trinity College Dublin, founded in 1592, is a prestigious university located in Dublin, Ireland. It is renowned for its academic excellence in various disciplines and its beautiful historic campus."
/m/011ycb,Quiz Show,"""Quiz Show, directed by Robert Redford in 1994, is a drama based on the real-life television quiz show scandals of the 1950s, highlighting the conflicts of ethics and the pursuit of fame."""
/m/011yd2,Apollo 13,"""Apollo 13"" is a 1995 film directed by Ron Howard. It depicts the true story of the ill-fated Apollo 13 mission, where a crew of astronauts fights for their survival after an oxygen tank rupture jeopardizes their return to Earth."
/m/011ydl,Babe,"""Babe"" is a heartwarming 1995 film directed by Chris Noonan. It tells the story of a pig named Babe who defies expectations and proves that kindness can overcome prejudice."
/m/011yfd,Il Postino: The Postman,"Il Postino: The Postman is a 1994 film directed by Michael Radford. Set in a small Italian village, it tells the story of a postman who befriends Pablo Neruda, the famous Chilean poet. Their friendship leads to personal growth and profound transformations."
/m/011yg9,Sense and Sensibility,"Sense and Sensibility is a 1995 period drama film based on Jane Austen's novel. The story follows the Dashwood sisters as they navigate love, loss, and societal expectations in 19th-century England."
